pulse,alpha,beta,gamma,kappa
1,3.121154152046567,-0.4638176777598579,0.40800277747493024,-2.687229015380864e-07
2,1.7546385153516488,2.652025220278841,0.009143949080127074,7.483930445271733e-06
3,-2.58886270281897,0.6846181776992228,-0.930846015109627,2.968912867560583
4,0.519575794853657,-2.0578416277922624,1.4887782071553424,-0.7484551255559679
5,2.4517636557071296,0.7837075229782242,2.176881823777894,0.1947085837857685
6,-2.5370889205703477,0.2106812923173301,2.9844522913869183,-1.8108486800493333
7,-0.9344734084399791,1.6679656529647875,0.6479364505147412,-0.6183938496369263
8,-2.6951108777619712,-1.0664820698512485,-1.861205351936037,-0.953237453045904
9,2.911152018549579,1.414886255832832,-1.685253576181716,-2.5201419725920773
10,1.8302937875617251,-2.215637551777602,-1.839486063750687,1.6212175248273164
