pulse,alpha,beta,gamma,kappa
1,-2.433164050464046,2.8829316030004946,3.0919865755724962,0.0006927199812796379
2,-2.485155502624448,-1.8738172265770205,1.0241720165405164,-2.999281675735194
3,-2.516724529187785,2.8437758561590996,0.5977180248962934,1.1522868914036675
4,3.123216366569928,2.901975979936751,1.4346752196482284,1.9439160160300555
5,-0.9666803316495627,0.2587439349160282,3.120688039888144,-2.105477253650437
6,0.18653438015821683,1.6525174046131357,-2.600378867332118,2.0314740088105503
7,2.313795040105543,-0.8854235307436039,2.030490983361153,2.468889737671122
8,-2.608943500375539,0.5268295730280723,0.4538927701580262,1.4766422472480245
9,2.620492202492212,2.941368313660921,-3.141592653589793,-1.2209764682063602
10,-2.6825416489860254,-0.10839399193376371,-2.574696051970991,-0.4946528950962494
