pulse,alpha,beta,gamma,kappa
1,1.2770487918609972,3.1237240407622995,-3.1415915081495185,-1.2104101205736666
2,2.8089025841658155,-0.09854801702397392,-0.9597095448600178,1.4008024039877776
3,2.1159707878786858,-1.0355843519036452,3.0270844777586197,3.0991950256900718
4,-0.39256597543410743,0.5023720158476546,1.1887114388273645,0.17266079719573635
5,3.1415653529750025,2.665897182284237,-0.23104587350120023,0.8211197422184372
6,-0.6941154348460125,2.668328450041601,-1.3770029860651651,-0.8894099613158991
7,-2.992016791120554,-0.2637695082209572,3.08288445187648,0.0692036385416548
8,-1.8111409562730163,0.16575221145784805,-0.9180698233874569,-1.3046295957384522
9,3.080696873142357,2.73552709201957,-3.0115110926888367,0.2131768589108941
10,-2.2945164391503634,-0.36822996875517056,-1.8146864502490065,-0.40317350550954234
