pulse,alpha,beta,gamma,kappa
1,1.3981593012001974,-2.4750209498604785,2.246856084438929,1.5278561483725506
2,-2.8748700380494667,2.5273644006832394,0.5449578114638287,-0.5030875441316984
3,2.934179521500526,-2.214237664008779,-2.8600830851076218,0.3073783352077919
4,2.0504447590834953,-2.574585394967852,2.9341771069519353,-1.606149596940515
5,3.045451511201596,3.090101411859494,0.8802127148208597,0.5542194132732547
6,0.1364093626415751,1.9645806393179879,0.5545696778126568,3.141278709838676
7,0.7316509568298458,1.1631389456818115,-1.3257301213606945,2.6500825965067847
8,1.114858281927795,-0.20224392998807966,0.6783363540201796,2.8711680006312155
9,3.0339818708291437,-3.141592653589793,1.568506352815692,1.9651431511054442
10,-2.6096293232540657,2.7502339848208135,0.1754611335622305,-0.8486869078790108
