pulse,alpha,beta,gamma,kappa
1,3.0431406269474905,-3.139272202490065,1.7010847144127041,-8.130573316289504e-05
2,-0.6379980544383831,1.8770309890432664,-3.0882217912531136,-2.543048008129225
3,0.35847589715366873,2.790813161387029,-2.9410673688775044,-0.498776948021037
4,-0.8703173214370287,-2.927864159567555,1.1776992681683074,-2.930421265148883
5,-1.82854733886045,3.0441248474411826,-1.5010821890036172,-1.2118195116089152
6,-0.3356562709870519,-2.839620615434565,-2.318942731792243,1.3121893305056458
7,1.420574699676312,-0.7563328629540217,-2.5278241836464,0.13439579485153305
8,-2.732483408770199,2.944320432707743,0.15207706598361614,-0.8602594932264279
9,-0.501297478062528,1.3030221253763836,2.5739660840082377,2.0817466456287503
10,3.141592653589793,-1.5943874194128569,1.32170848935602,0.8286191994456774
