pulse,alpha,beta,gamma,kappa
1,2.130946969341152,1.1830794925575492,0.6800974162929363,-0.2320406135416733
2,-2.198165208384115,-2.683077793812934,-0.2132928131185513,0.3019776267866791
3,2.2694578968382335,0.6242773036233729,2.4513197178926203,0.31625848756234715
4,0.3194270056594342,1.190791472898488,-2.262031578698585,0.42189735513451265
5,-0.8099644880920872,3.0854461229901466,-1.039262551947209,1.0626248434750778
6,-0.34837979538986313,-2.9607721074639306,-1.1470441970131489,-0.7615345403641071
7,2.4592703946216523,0.22714870926348102,-1.493458866683118,-0.6763685477959027
8,-0.35380686865798516,2.401330839772942,-2.9534371546521894,2.3941119579221075
9,1.760213148336493,-0.28980705586464156,0.7048293041650243,0.7173894978167586
10,-2.7649379560147263,-1.8688630388604697,-0.4746977481111854,0.6013352995332535
