pulse,alpha,beta,gamma,kappa
1,2.0194996587140484,3.141170720813102,0.6426033320163923,-2.4294586362787145
2,1.0379606712216272,2.513626298371969,-3.0200613449523948,3.056093336246245
3,2.9638389628417428,-0.20359452608365,-1.465357944484976,-0.5812778567730308
4,-2.138702950594859,-2.516754329668625,-2.1192484755301773,2.5879500553181085
5,-1.826370857543102,-2.6463317179011825,-2.843043167034046,-0.5809935882116684
6,-2.637968407959727,-2.5196759243130344,-3.076713024826091,0.40118388870470173
7,3.07915537416541,1.0664030361934778,-2.4500931012028953,2.8598365983132545
8,0.45946835300024813,-1.6967814386839064,-1.146311299774993,-1.2419481345913914
9,2.1145394508795103,-0.6738690335037446,1.4516192511607728,0.6825406070554856
10,0.07913807061336996,0.6673351010367096,0.697828761082894,-1.7373745764485249
11,1.7840062903910017,0.6672760227443764,0.8614500743928472,0.9053407696112543
