pulse,alpha,beta,gamma,kappa
1,-1.9868659659015042,2.3924919090043466,-1.9491441769449258,-1.5217301499569844
2,0.11288843957240054,-1.4693798542396492,-2.2958216884244784,-0.7843441558333872
3,-1.037544995974654,-3.1127408239294687,2.2013775947716674,-2.3935273254217617
4,2.2951614398537834,0.9601671902036673,-2.2080610444453015,-1.5504857215458296
5,1.258141489288919,1.2566653547655262,-1.367918086839241,-0.34404174329688325
6,1.910361613896356,-2.5986182128898263,0.7916319639947365,0.24284920514814948
7,-2.232355679219897,-1.4348276647388996,3.108942851951284,1.3895768954001682
8,-2.1235815304508128,1.3794528927465548,-2.663908662289206,0.6593851174424938
9,0.566889362604404,2.0973224247638953,0.26364582518859503,-0.8874448027786278
10,-0.7684099265883145,2.080264678344724,-2.95666627231221,-0.014357111655608231
