pulse,alpha,beta,gamma,kappa
1,2.6863959414339553,-2.1464583927640652,-0.9611085360572209,0.0062309301204588234
2,0.8633153009827688,1.6945794422185059,-0.5540932503571374,2.8878352213960485
3,1.868349144101583,2.105184366345921,1.6207769086932777,0.22669378613695618
4,0.20799245416952178,-1.5716906779094255,1.4113970522332904,-1.7177462138154762
5,1.8133822382440303,-0.7679110136148197,1.1777600038916083,-0.5303774178699427
6,1.7394844671338534,1.7928203334307715,1.9524026408370139,-2.9941143096471348
7,0.11112524772922772,-2.246367218422972,2.5681088796697438,2.1427494108023866
8,-1.0739762739265104,-0.9302500719196953,0.9743215243011194,0.42266069682775154
9,-0.8752161752649968,-1.5989244912795728,-0.8596468316923294,-1.1036204743823692
10,0.3363640052027335,1.6551524686632002,0.3180343945050216,-1.2986988375439992
