pulse_index,alpha,beta,gamma,kappa,detuning
1,-1.0905545428302417,-1.1045953504857402,-1.9741049458811208,2.0265849748504481,0.2153151264514257
2,-0.16561635103632125,-0.54746640542747083,-0.88685913343642486,0.26998877916926445,0.97002587717427358
3,1.0386250062721221,1.0664179666219928,0.92175057738836585,1.8672278112194909,0.66930449441899464
4,0.61067957324076827,-0.57680303916580322,-1.8084419889711039,2.6122123385000582,1.34196115079805
5,-0.693305409723736,0.69552491467749433,-0.78784467750725784,2.1276955592013693,1.3244948699649037
6,-2.6543569210738438,-2.6441267985450505,2.9267987675526381,-0.57796886329421326,1.1492615745081445
7,-0.46867758412860028,0.70968088976573873,-3.1333173178894298,-1.0989211113961177,1.2245693673755014
8,1.7867355871014448,-1.9082182849734828,-0.097743570335654825,0.42834017339385128,1.0875244802776187
9,1.5646509999713307,-1.5422603591523101,2.3546639722613572,-1.5421407309007034,1.0820171876071438
10,-2.4001811341900727,1.2015187313456732,2.915261324114085,-1.1557624393200241,1.134037464562708
