pulse_index,alpha,beta,gamma,kappa,detuning
1,1.8771637020005811,0.074617042233231387,2.9609577510615552,-0.8790944739694585,0.14261018167496092
2,1.8837101669740925,2.0479161040781264,-0.088093064163714749,-1.2814657887069634,0.050000000000000003
3,-2.2288199557427757,-1.2836581190086058,-0.9402207415951096,-1.2195663678120459,0.93169561635591225
4,1.7789745384721425,-1.8269835620380166,-0.28562081669551942,1.403864707295964,1.3469399632852117
5,0.14146827693287789,-1.4552715018398608,-0.35170151772437169,-0.50080523610148753,1.1774643140476146
6,-1.3378853679923153,-0.83435027071771395,-0.7786726475120811,0.49352983710163906,1.0445843804977466
7,-2.4158071974135247,2.1848841941789332,2.6558095761611256,-1.9251137043968634,1.1272975236432643
8,2.9064754437813547,2.4490267953760267,-1.1352531872078537,-2.4018783478867713,1.0124462370429999
9,-1.013609495345237,1.7242957267090897,1.1558848158393986,-0.92439969801209287,1.0932521240811821
10,-1.2323309592316221,1.3227415483347718,-2.562999631521464,-1.0762159473295627,1.364948714985923
