pulse_index,alpha,beta,gamma,kappa,detuning
1,1.2992708646869404,-1.6011265115847413,-2.5233082147655059,-1.0772138948689089,0.050000000000000003
2,3.1367079122489727,1.1816590592650362,2.8545181514766083,0.3128902285004922,0.90579663232320629
3,-2.6825054703668716,-2.9691240277227489,1.1089076277774497,-2.9566265692322644,1.758051904923271
4,1.1138243008261721,-2.6417308456165842,-2.9447285680426036,1.1393136544500517,1.1794794771393573
5,0.56654104427802932,-0.9959439962992076,1.7296698780326489,-2.2591602560182737,1.6177738206001531
6,-2.7011654062729566,2.5607486587852457,0.97141923951787978,3.1141538093302006,1.5022075704318003
7,1.1487140401211557,0.72933644143232157,-1.8729242357613411,0.91882208176066438,1.17275195005207
8,-2.2600801050839632,3.1146585536163935,1.564828851377398,0.60158555624864263,1.3519750691215153
9,-3.1019485213619564,1.8349869465279509,1.5214064014060711,-0.10281487636480215,1.1142721226616998
10,-1.9368416399502204,3.1092765981304602,-3.1019475011548447,3.1415926535897931,1.2936268532390702
