pulse_index,alpha,beta,gamma,kappa,detuning
1,0.52631211288052471,-2.7115572676098423,-2.2415409846454564,-0.43727887588802739,0.050000000000000003
2,1.5891609579384538,2.6214551156973633,-2.6526323506536382,-0.70862381431968013,0.98677923934170331
3,-2.015088250853696,-1.3966419392843921,1.4551876443676106,0.0074216312611795326,0.90693993790703875
4,0.56698784950604297,2.9785431170717689,0.97393744825592077,1.4456555071154416,0.48410920126155393
5,2.867380750745026,-2.0087219964502405,1.7164338645537887,1.0279165341684671,1.2632338137514219
6,2.4014665477443309,-0.77820314208642039,2.2823397555314568,-0.64094833236998661,0.93441352040688885
7,2.4444815434241871,1.5004405861407628,2.347661818886781,-0.89283087902842417,1.0498685836616137
8,-0.69770740253920793,1.171591669714805,-1.7787652633653956,2.2335465611268863,1.440412010958636
9,2.8826946227052535,-1.224760094765343,2.0843361321101233,-2.3977568942958079,1.0994196937425849
10,-1.7908333866304331,1.4098526179513988,1.4070509978858483,1.18678164261833,0.97350273366190865
