pulse_index,alpha,beta,gamma,kappa,detuning
1,3.1237078657537318,-0.45138494929850675,0.40798836738585925,0.83165788894989101,0.050000000000000003
2,1.764907166017643,2.7835828211116778,0.077770328421533086,0.00034587537405289379,0.95396544338477207
3,-2.5494023027550585,0.91446938116335619,-0.9205981134585618,2.9039842957523274,0.97417672072221584
4,0.78892055265679728,-2.2470873536270348,1.5282168671388181,-0.69233510853795122,0.90770445046171155
5,2.0451959803501465,0.97570422632537201,2.4462209644638659,0.1714951565771059,0.91525043431530961
6,-2.4860370903376356,0.40389424128599571,2.5778720342592147,-1.5742841995501919,0.66104732984323267
7,-1.0782776834350063,1.6825353474021019,0.6989771156170187,-0.84271319633870023,0.78323346695922402
8,-2.6895615625943985,-1.1279810785245696,-2.0050161914818245,-1.0445400657303379,1.0140091189403464
9,2.8260908272461229,1.3635969410915607,-1.6796977559549575,-2.6233154155040621,1.213412563934378
10,1.800910414385374,-2.2011366022110428,-1.924517248282509,1.5642977592513228,1.3708554624219387
