pulse,alpha,beta,gamma,kappa
1,3.1415916401122472,-3.0456430694508256,0.2416607870052058,-3.141592583462714
2,-0.6428591249525457,1.4335459975248093,2.411436486906746,-3.141475448126266
3,-2.4201820175887665,-2.254501018999881,-3.106297465544592,2.430697474049216
4,0.8885220446651897,-0.18132969873552002,0.5929461502391872,1.8760218594197389
5,1.1620457891573412,2.977998352938669,0.4539163768548512,1.4864058300349237
6,2.0830181300076522,2.9716652820052376,-2.574845032815952,-1.0919162975689016
7,-1.8399732593686935,3.1321340837045986,1.5187487688678123,1.3211490747551808
8,-0.17050495560482304,-0.8763614837830571,1.7898536588252678,2.830212877818912
9,0.9777610718800372,-2.198907134052241,1.3332669493641578,0.4974304158481592
10,-1.490312594884297,-0.2958586028704459,-1.2233577782539757,0.9471420602661015
