pulse,alpha,beta,gamma,kappa
1,1.912835437451833,-0.006512138941552181,2.9609505830263925,-1.3968817694460736
2,2.0965379232762724,1.9342378219236145,-0.052417379579631926,-1.5124294078656793
3,-2.368328828032466,-1.3193987285995321,-0.7273909471926662,-1.0762751220696545
4,1.7471963447043388,-1.3341562163177356,-0.42513114502495863,1.3262448035138077
5,0.023046985144247537,-1.3866335584275842,-0.38348042377382807,-0.4829830976787932
6,-1.2293346306169117,-0.7019916656678014,-0.8970942188481082,0.4079110923237357
7,-2.394872857846746,2.2228110225470274,2.7643627340518635,-1.9427663851705501
8,2.694677997664421,2.2230013200413863,-1.1143206596911728,-2.361213662257817
9,-0.972888968346305,1.9149164244814054,0.9440872057266473,-0.7862936753681067
10,-1.2323321367804483,1.2263576488286405,-2.522278400266539,-0.9397260355800483
