pulse,alpha,beta,gamma,kappa
1,2.6983049452969485,2.8325386694991788,-2.806780065967808,-1.9930345356341408
2,2.1374302663278355,-1.7627087950232467,-1.2976772883172378,-0.2416410215794245
3,-1.9191717955088794,-0.4818629954688423,-1.73436283964118,-2.2169997167092825
4,2.0921306212558752,0.9084660828237638,-0.6420651608141597,-2.1433549770822253
5,-1.2955285173822515,-2.328459996262436,-1.3663547692191977,-1.0663778016933878
6,-0.3470629353175317,2.44231428456423,-0.295315865879024,-0.3937977113749558
7,-2.6783003578120064,2.5093144179804407,1.5499874399433164,1.4774932244282655
8,2.4585438308591,0.6844932949048531,1.9874449683836681,1.2803027862925993
9,-1.6597420820591848,-0.5440889206616583,-0.26076539498897344,1.778260679295967
10,3.0073721368837276,2.0310598956439714,-2.6747437932634908,1.4906629846843609
