pulse,alpha,beta,gamma,kappa
1,2.014229639783857,3.140162806978376,0.6425936787154134,-3.141592642054469
2,1.2792185488777348,2.0724072262550357,-3.025332912815415,3.141558792504757
3,3.009658907480882,-0.6919422458460165,-1.2240928331185037,-0.7419393910401963
4,-2.222735809426114,-2.0715686435476206,-2.168256398049659,2.722420043671058
5,-1.725809368948814,-2.3099437213324636,-3.138687766410951,-0.8100288150777197
6,-2.3735081628770796,-2.3128385207887345,-3.1242150023756703,0.7405747367467526
7,3.129580013139105,0.6370181419078392,-2.185633030489357,3.140719898452107
8,0.4311816557791398,-1.8879742752578834,-1.7787021085374204,-1.098017073583623
9,2.338090196302536,-0.5930915921271921,1.423332892831997,0.6940367899237925
10,-0.31846182293518177,1.0277483543905723,0.9213813562849643,-1.8547200824742773
11,2.1166493001720954,0.7206174427849352,0.46385072319030574,0.9833055295972601
