pulse,alpha,beta,gamma,kappa
1,1.7227387354963255,2.6938015462140905,0.7094402066345634,-2.5792546609048808
2,3.0237643355503723,2.874560208838865,-1.5828868451552125,2.6779910326990786
3,2.9795684388791575,-2.3629034026377522,-1.0345243054583024,-2.20310300784626
4,-1.240115100672617,-1.495311512514524,-0.311044899339854,2.522189732079583
5,-1.7397469665299328,-2.2883780824693303,-2.7097288387500864,1.0799047083010715
6,-2.6929701689946786,0.28791480171828104,-1.9757939244474618,-0.12811863553744965
7,2.8201389567266952,1.5120536165509937,-2.3775627964361816,1.5406035941036966
8,-1.289191404265936,-0.8879427357690489,-2.554890094515876,-2.672206040153915
9,1.147342924727204,-1.1414116120514608,-0.6549675697270327,2.3012803369912715
10,6.208701289976851e-10,-5.173917741647376e-09,6.208701289976851e-10,-4.1391341933179006e-10
11,6.208701289976851e-10,-5.173917741647376e-09,6.208701289976851e-10,-4.1391341933179006e-10
