pulse,alpha,beta,gamma,kappa
1,2.9213173179696215,2.825784074150046,-0.5144989020180917,0.08741398862584857
2,0.41721167683802485,-1.611685985244838,1.8255175862072786,-1.3819724453917694
3,-0.6416056815916188,-0.09582114547036916,0.9197315681637437,-1.840123132395806
4,0.44030345444834884,-2.4044920361170075,-0.8660650958774871,2.9080217474144363
5,0.3682423343549026,0.27205989262804026,-3.141525308256907,-3.140505091507691
6,1.7903596057439357,3.0414259514478026,-0.7251908539956956,-2.192146697368878
7,-1.6155532368867311,-2.556975144512747,3.1411117557819144,2.9057932115839256
8,-1.7098094977172147,-1.2235995040600636,-2.8711825968023774,3.033322908265842
9,2.8995848476469317,0.7759346424918991,0.9310852773366589,2.099237853065487
10,2.3864547858503826,2.485035714633097,-0.9880414415123717,0.5479877415175864
